video_id,title,video_url,classification,review_status,review_reason,reviewed_at,screening_score,screening_note
muPemAmkfkc,자신감 심어줬더니 종이컵 물고 튀는 에이미네 강아지 [퍼피교육],https://www.youtube.com/watch?v=muPemAmkfkc,CANDIDATE,PENDING,,,2,'자신감 심어줬더니'가 적용한 훈련 기법(자신감 형성)과 그 이후 결과를 대비하는 전/후 구조를 시사
9FWfbXwXbP0,하네스가 입기 싫은 강아지 [퍼피교육],https://www.youtube.com/watch?v=9FWfbXwXbP0,CANDIDATE,APPROVED,대표 표본 직접 시청: 구체적인 훈련 설명과 실행 방법 포함,2026-08-17,,
MzZPmL7xB3Q,흥분하면 소변 누는 강아지 교육하는 방법 From 강형욱 To 빈지노｜2019 댕댕이페스티벌,https://www.youtube.com/watch?v=MzZPmL7xB3Q,CANDIDATE,PENDING,,,1,명시적 how-to 어구
49LiYX6yCdE,안아줘. 독바로 안아줘 [퍼피교육],https://www.youtube.com/watch?v=49LiYX6yCdE,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
dosP8jzZy_Q,주둥이가 짧아 슬픈 강아지 [퍼피교육],https://www.youtube.com/watch?v=dosP8jzZy_Q,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
YtaNhuDPt30,강아지도 정신없고 내 심장도 정신없음 [퍼피교육],https://www.youtube.com/watch?v=YtaNhuDPt30,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
IiQxfN75jCQ,이 강아지는 이제 제 겁니다. 강형욱한테 천재견 뺏긴 양다일 [퍼피교육],https://www.youtube.com/watch?v=IiQxfN75jCQ,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
zYgjx1qFpkc,간식 들고 튀는 강아지 교육하는 강형욱 [퍼피교육],https://www.youtube.com/watch?v=zYgjx1qFpkc,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
nFD7hgmw9xs,이갈이 중이라 이가 간지러운 강아지 교육하기 [퍼피교육],https://www.youtube.com/watch?v=nFD7hgmw9xs,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
jbs_A0FT16c,내가 왕이 될 상인가. 성질머리에 비해 몸이 작아 슬픈 미니핀 | 견종백과 미니어처 핀셔편,https://www.youtube.com/watch?v=jbs_A0FT16c,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
2Ika8e2Yr5w,우리... 같이 살아도 괜찮을까요? [퍼피교육],https://www.youtube.com/watch?v=2Ika8e2Yr5w,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
sa3HX5O1qEA,문제견이었던 비니. 잘 키우고 있는지 직접 확인해 봤습니다. [퍼피 근황올림픽],https://www.youtube.com/watch?v=sa3HX5O1qEA,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
J_miaVbZHm4,강형욱 바지 물어도 안혼나는 강아지 [퍼피교육],https://www.youtube.com/watch?v=J_miaVbZHm4,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
wi9uSGrRC9o,얘를 무슨.. 배변 훈련을 해요. 실수하면 그냥 닦아주세요! [퍼피교육],https://www.youtube.com/watch?v=wi9uSGrRC9o,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
mKUXApaJuSE,핸드폰 대면 뒤집어지는 털뭉치 교육하기 [퍼피교육],https://www.youtube.com/watch?v=mKUXApaJuSE,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
o1x2iYtRzWI,"""비닐봉지가 무서워요"" 겁이 많은 강아지 교육하기 [퍼피교육]",https://www.youtube.com/watch?v=o1x2iYtRzWI,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
Cj1Iin-UKzk,너 입에 초코 묻었어. 귀여운 초코에게 감겨버렸다. [퍼피교육],https://www.youtube.com/watch?v=Cj1Iin-UKzk,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
8pZyhPDnh30,왕년에 장난 아니었을 10살 호동이 [집에 가자] EP.9,https://www.youtube.com/watch?v=8pZyhPDnh30,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
-GEAyCIgmI8,뚱땅거리며 걷는 햅-삐 햅삐독 교육하기 [퍼피교육],https://www.youtube.com/watch?v=-GEAyCIgmI8,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
6vvszdv5pDY,스피츠가 예민보스인 이유 | 견종백과 스피츠편,https://www.youtube.com/watch?v=6vvszdv5pDY,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
9708Qoe83VI,꽃미모 자랑하는 해온이 [집에가자] EP.8,https://www.youtube.com/watch?v=9708Qoe83VI,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
Pxlq4KoYEkI,오랜만에 만난 세상 해맑은 강아지 [퍼피교육],https://www.youtube.com/watch?v=Pxlq4KoYEkI,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
eBP5Ds6o2Aw,대형견 앞에서 얼어버린 소형견...(대형견=강형욱) [퍼피교육],https://www.youtube.com/watch?v=eBP5Ds6o2Aw,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
hzcD1T_-XK4,이 강아지는 이제 제 겁니다. 강형욱이 반한 예쁜 강아지 [퍼피교육],https://www.youtube.com/watch?v=hzcD1T_-XK4,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
Onyn-Y3Ku7I,귀여움이 두 배인 시바이누 두 마리 교육하기 [퍼피교육],https://www.youtube.com/watch?v=Onyn-Y3Ku7I,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
_6L4ZVPUJhs,24시간 돌아갑니다. 경고했습니다. | 견종백과 코카스파니엘편,https://www.youtube.com/watch?v=_6L4ZVPUJhs,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
fduEwKC0OKw,강형욱 만나고 고장난 못생긴 노을이 [주니어교육],https://www.youtube.com/watch?v=fduEwKC0OKw,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
MYqTovzZW8U,"""아가야 어딨니 안보여."" 불키고 시청하세요 [퍼피교육]",https://www.youtube.com/watch?v=MYqTovzZW8U,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
_0v98iq-mRs,"""도대체 언제 지치는 건데."" 체력짱 보더콜리와 놀기 간접체험 [퍼피교육]",https://www.youtube.com/watch?v=_0v98iq-mRs,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
1kZq5AdkCyY,"""뭘 봐"" 예민한 달마시안씨와 친해져보기 [퍼피교육]",https://www.youtube.com/watch?v=1kZq5AdkCyY,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
GhFWXwa3dzI,이효리님이 제주도에서 구조했던 남매견 근황 [집에 가자] EP.5,https://www.youtube.com/watch?v=GhFWXwa3dzI,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
8T3DgZUx9lo,간식 하나면 천재견이 되는 강아지 [집에 가자] EP.4,https://www.youtube.com/watch?v=8T3DgZUx9lo,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
-9H0A62JaZY,턱살이 귀여우시네요... 만지작... [퍼피교육],https://www.youtube.com/watch?v=-9H0A62JaZY,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
tOzPmdXojq4,보호소에 온 꼬물이 5형제  [집에 가자] EP.3,https://www.youtube.com/watch?v=tOzPmdXojq4,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
bNGYW4CSlZg,까불다가 짜부된 똥꼬발랄 웨스티 교육하기 [퍼피교육],https://www.youtube.com/watch?v=bNGYW4CSlZg,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
J-p955Needw,비 오는 날 마중 나온 목화 강아지 [퍼피교육],https://www.youtube.com/watch?v=J-p955Needw,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
RM28oR1c4xU,캥거루처럼 뛰는 강아지 보고 가세요 [퍼피교육],https://www.youtube.com/watch?v=RM28oR1c4xU,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
X-e2FOhL13Y,이름이 '짜장 곱백'이 뭐야ㅠ 넘모 귀엽잖아 [퍼피교육],https://www.youtube.com/watch?v=X-e2FOhL13Y,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
3SYrf9NAJZE,꼬리가 풍성한 코기와 필라테스하기 [퍼피교육],https://www.youtube.com/watch?v=3SYrf9NAJZE,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
axgcspwfXPw,예민한 솜사탕 포메와 친해지기 [퍼피교육],https://www.youtube.com/watch?v=axgcspwfXPw,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
LvrhaYhEb4c,귀여우면 다야? 말 안 듣는 솜뭉치 훈련한 강형욱 [퍼피교육],https://www.youtube.com/watch?v=LvrhaYhEb4c,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
ZLcAtZIkbBw,왕크니까 왕귀여운 초대형 애기 강아지 교육하기 [퍼피교육],https://www.youtube.com/watch?v=ZLcAtZIkbBw,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
YrUjuH8zqsY,“이미 앉았는데요.” 다리가 짧아서 슬픈 애기 닥스훈트[퍼피교육],https://www.youtube.com/watch?v=YrUjuH8zqsY,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
dLpy8sadZBA,만지지 말고. 부르지 말고. 바라만 보세요. | 견종백과 시바이누편,https://www.youtube.com/watch?v=dLpy8sadZBA,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
ENRfckcQ-9Y,강아지 밥상머리 교육하는 법 [퍼피교육],https://www.youtube.com/watch?v=ENRfckcQ-9Y,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
O-9wllzPEF8,천재 도베르만 등장 [퍼피교육],https://www.youtube.com/watch?v=O-9wllzPEF8,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
e4zwTPFkrFw,애기 리트리버가 물 먹는 법 [퍼피 교육],https://www.youtube.com/watch?v=e4zwTPFkrFw,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
IF0biMM_2VA,애기 허스키 재밌게 놀아주는 법 [퍼피 교육],https://www.youtube.com/watch?v=IF0biMM_2VA,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
o_AMhu4Mprk,"'손가락 물렸다면 절단 사고' 나는 너만 있으면 돼... 강형욱 훈련사, 내 강아지의 공격성",https://www.youtube.com/watch?v=o_AMhu4Mprk,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
Mfr7aP5DuFg,일촉즉발! 정신 놓고 짖는 화이트 슈나우저 하나｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=Mfr7aP5DuFg,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
FaOKxP5JmX8,"타고난 공격성의 반전, 믹스견 호두 2부 (2/2)｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=FaOKxP5JmX8,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
m9ycHfIsjQ0,"타고난 공격성의 반전, 믹스견 호두 1부 (1/2)｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=m9ycHfIsjQ0,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
bgUup3C-LdA,"분리불안 교육, 미리 예방 가능하다!│강형욱의 멍스쿨 초보 보호자",https://www.youtube.com/watch?v=bgUup3C-LdA,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
EdpDcQ-iOw0,보호자는 내가 지배한다! 우리 집 독재자 푸들 콩이 2부 (2/2)｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=EdpDcQ-iOw0,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
ASxEvTe5Dss,보호자는 내가 지배한다! 우리 집 독재자 푸들 콩이 1부 (1/2)｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=ASxEvTe5Dss,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
nydkR3CoRnU,가족만 공격하는 두 얼굴의 야누스 진돗개 칠복 2부 (2/2)｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=nydkR3CoRnU,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
Tdr8hDH2vv8,가족만 공격하는 두 얼굴의 야누스 진돗개 칠복 1부 (1/2)｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=Tdr8hDH2vv8,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
YyKUgBOYztI,점점 심해지는 식분증! 해결하는 교육법｜2019 댕댕이페스티벌,https://www.youtube.com/watch?v=YyKUgBOYztI,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
UULaol26dIs,훈련사도 포기한 강아지 샤페이 또또 2부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=UULaol26dIs,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
bqizaW-YXfM,훈련사도 포기한 강아지 샤페이 또또 1부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=bqizaW-YXfM,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
qkubn3xtAe4,"총체적 난국, 프렌치 불독 레오 2부｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=qkubn3xtAe4,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
eUH67aU8L6E,"총체적 난국, 프렌치 불독 레오 1부｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=eUH67aU8L6E,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
GuUanxQBaYQ,밥 먹을 때 다가오는 강아지 교육법!!｜2019 댕댕이페스티벌,https://www.youtube.com/watch?v=GuUanxQBaYQ,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
BHjc42cfZ2w,거스르면 문다! 맹수로 돌변하는 진돗개 마루 2부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=BHjc42cfZ2w,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
4wu46OaUH28,거스르면 문다! 맹수로 돌변하는 진돗개 마루 1부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=4wu46OaUH28,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
MZmBNwI0J-Q,"입을 물어뜯긴 보호자, 품 안에 강아지 말티푸 하루 2부｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=MZmBNwI0J-Q,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
fzCI03hrXls,"입을 물어뜯긴 보호자, 품 안에 강아지 말티푸 하루 1부｜내 강아지의 공격성 The aggression of my dog",https://www.youtube.com/watch?v=fzCI03hrXls,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
sECH6_LBl2o,학대의 트라우마일까? 유기견 웰시 코기 이낙이 2부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=sECH6_LBl2o,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
AYdlkAPqq9s,학대의 트라우마일까? 유기견 웰시 코기 이낙이 1부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=AYdlkAPqq9s,CANDIDATE,PENDING,,,0,제목만으로는 절차 신호 없음
TtvN_-vKW4c,[Eng sub] 함께 사는 개와 고양이를 공격하는 불테리어 구락이 2부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=TtvN_-vKW4c,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
vtcUIWI1gmk,[Eng sub] 함께 사는 개와 고양이를 공격하는 불 테리어 구락이 1부｜내 강아지의 공격성 The aggression of my dog,https://www.youtube.com/watch?v=vtcUIWI1gmk,CANDIDATE,PENDING,,,0,리액션/일상형 신호만 있음
